term,wave,student_id,attempt_rows,decision_path_id,decision_path_name,teachable_now,intervention_track,intervention_plan,teachability_priority_index,dominant_error_profile_bucket,dominant_error_profile_bucket_share,top_concept_struggles,concept_profiles,concept_failed_count,concept_failure_ratio,avg_public_runs_per_attempt,avg_edits_per_attempt,avg_active_minutes_per_attempt,parseable_fraction_mean,runtime_error_rows_ratio,syntax_gated_rows_ratio,wrong_logic_rows_ratio,productive_process_ratio,one_shot_ratio,skeleton_only_ratio,thrasher_ratio,regression_ratio,stuck_ratio,parseability_regression_ratio,no_improvement_latter_half_ratio,path_d0,path_d1,path_d2,path_t1,path_t2,path_t3,path_d3
25t1,wave1,00ee4722182c4e3ba2b32628d12c20d7,7,D0,Low Engagement / One-Shot Usage,False,Re-engagement before content remediation,"Contact quickly, resolve access/friction, set minimum process contract (>=2 runs + >=2 code edits per problem), then reassess.",,Runtime error,0.5714285714285714,Loops and iteration; Data analysis / aggregation; File operations,9,5,0.5555555555555556,3.5714285714285716,7.142857142857143,7.135714285714286,0.979591836734694,0.5714285714285714,0.0,0.0,0.14285714285714285,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,True,False,False,False,False,False,False
25t1,wave1,01c2709b53ec4e199aa49448ab6293ee,3,D0,Low Engagement / One-Shot Usage,False,Re-engagement before content remediation,"Contact quickly, resolve access/friction, set minimum process contract (>=2 runs + >=2 code edits per problem), then reassess.",,Syntax gated,0.6666666666666666,Arithmetic / conditionals; Input parsing / output formatting; Loops and iteration,6,6,1.0,8.666666666666666,8.666666666666666,21.122222222222224,0.0144927536231884,1.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,True,False,False,False,False,False,False
25t1,wave1,030e84cf594345549da87b755e9fc6c0,4,D0,Low Engagement / One-Shot Usage,False,Re-engagement before content remediation,"Contact quickly, resolve access/friction, set minimum process contract (>=2 runs + >=2 code edits per problem), then reassess.",,No activity / skeleton,0.5,Arithmetic / conditionals; String manipulation,2,2,1.0,4.5,6.0,29.520833333333332,0.16666666666666666,1.0,0.25,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,True,False,False,False,False,False,False
25t1,wave1,0333522a8a88414ba25fac1e55af93d9,6,D0,Low Engagement / One-Shot Usage,False,Re-engagement before content remediation,"Contact quickly, resolve access/friction, set minimum process contract (>=2 runs + >=2 code edits per problem), then reassess.",,No activity / skeleton,1.0,Arithmetic / conditionals; Loops and iteration; Dictionary operations,7,7,1.0,2.5,2.5,9.061111111111112,0.38095238095238093,0.5,0.0,0.5,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,True,False,False,False,False,False,False
25t1,wave1,03ec88c245ec4928b9445d915963acaf,4,D0,Low Engagement / One-Shot Usage,False,Re-engagement before content remediation,"Contact quickly, resolve access/friction, set minimum process contract (>=2 runs + >=2 code edits per problem), then reassess.",,No activity / skeleton,0.25,Loops and iteration; Dictionary operations; Input parsing / output formatting,6,6,1.0,5.0,4.75,8.216666666666667,0.6607142857142857,0.5,0.25,0.25,0.0,0.5,0.25,0.0,0.0,0.25,0.0,0.5,True,False,False,False,False,False,False
25t1,wave1,0415cbb7a3f8491fb7e8fa1fc0330847,4,D0,Low Engagement / One-Shot Usage,False,Re-engagement before content remediation,"Contact quickly, resolve access/friction, set minimum process contract (>=2 runs + >=2 code edits per problem), then reassess.",,No activity / skeleton,0.25,String manipulation; Arithmetic / conditionals,2,2,1.0,11.25,12.25,19.379166666666666,0.45,0.5,0.25,0.25,0.5,0.5,0.25,0.0,0.0,0.0,0.0,0.25,True,False,False,False,False,False,False
25t1,wave1,056b57703e4546d8999704d7f01d7357,7,D0,Low Engagement / One-Shot Usage,False,Re-engagement before content remediation,"Contact quickly, resolve access/friction, set minimum process contract (>=2 runs + >=2 code edits per problem), then reassess.",,No activity / skeleton,0.7142857142857143,Input parsing / output formatting; Loops and iteration; Arithmetic / conditionals,7,7,1.0,4.142857142857143,3.7142857142857144,18.12142857142857,0.9785714285714285,0.14285714285714285,0.0,0.7142857142857143,0.14285714285714285,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,0.0,0.7142857142857143,True,False,False,False,False,False,False
25t1,wave1,05755dff342e4d9393f3ca62df8eba36,7,D0,Low Engagement / One-Shot Usage,False,Re-engagement before content remediation,"Contact quickly, resolve access/friction, set minimum process contract (>=2 runs + >=2 code edits per problem), then reassess.",,No activity / skeleton,0.5714285714285714,Arithmetic / conditionals; Input parsing / output formatting; Loops and iteration,7,7,1.0,5.428571428571429,5.428571428571429,39.11190476190477,0.5617913832199546,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.8571428571428571,True,False,False,False,False,False,False
25t1,wave1,05bd207f950f4abf8e1ed1b17d9d2c7a,7,D0,Low Engagement / One-Shot Usage,False,Re-engagement before content remediation,"Contact quickly, resolve access/friction, set minimum process contract (>=2 runs + >=2 code edits per problem), then reassess.",,No activity / skeleton,0.8571428571428571,String manipulation; Arithmetic / conditionals; Input parsing / output formatting,6,6,1.0,2.7142857142857144,2.857142857142857,16.76904761904762,0.8775510204081632,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.5714285714285714,0.8571428571428571,0.0,0.14285714285714285,0.0,0.14285714285714285,0.42857142857142855,True,False,False,False,False,False,False
25t1,wave1,05e051c237ee4a3d85c35b8292ef433c,7,D0,Low Engagement / One-Shot Usage,False,Re-engagement before content remediation,"Contact quickly, resolve access/friction, set minimum process contract (>=2 runs + >=2 code edits per problem), then reassess.",,No activity / skeleton,0.5714285714285714,Arithmetic / conditionals; Data analysis / aggregation; Input parsing / output formatting,9,9,1.0,10.714285714285714,12.857142857142858,28.561904761904763,0.6363636363636365,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.0,0.5714285714285714,0.5714285714285714,0.0,0.14285714285714285,0.0,0.14285714285714285,0.42857142857142855,True,False,False,False,False,False,False
25t1,wave1,061debc3efc3457d8824e7c3796908fb,5,D0,Low Engagement / One-Shot Usage,False,Re-engagement before content remediation,"Contact quickly, resolve access/friction, set minimum process contract (>=2 runs + >=2 code edits per problem), then reassess.",,Runtime error,0.6,String manipulation; Arithmetic / conditionals,2,2,1.0,15.0,15.4,37.56666666666667,0.6626865671641792,1.0,0.2,0.0,0.0,0.6,0.2,0.0,0.0,0.2,0.0,0.6,True,False,False,False,False,False,False
25t1,wave1,06ef88f4219e4009bd90184443a03b36,7,D0,Low Engagement / One-Shot Usage,False,Re-engagement before content remediation,"Contact quickly, resolve access/friction, set minimum process contract (>=2 runs + >=2 code edits per problem), then reassess.",,No activity / skeleton,0.5714285714285714,Loops and iteration; Pattern printing; Arithmetic / conditionals,9,9,1.0,10.0,10.428571428571429,17.30238095238095,0.8071273964131107,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.7142857142857143,True,False,False,False,False,False,False
25t1,wave1,078e53d8d4d2408c9ca32e087715c3a3,6,D0,Low Engagement / One-Shot Usage,False,Re-engagement before content remediation,"Contact quickly, resolve access/friction, set minimum process contract (>=2 runs + >=2 code edits per problem), then reassess.",,Runtime error,0.3333333333333333,Arithmetic / conditionals; Loops and iteration; String manipulation,8,8,1.0,6.666666666666667,7.166666666666667,38.28611111111111,0.6157635467980295,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,True,False,False,False,False,False,False
25t1,wave1,07a5cf895ccf4b1c97306f462f6aa45f,4,D0,Low Engagement / One-Shot Usage,False,Re-engagement before content remediation,"Contact quickly, resolve access/friction, set minimum process contract (>=2 runs + >=2 code edits per problem), then reassess.",,No activity / skeleton,0.75,Loops and iteration; Arithmetic / conditionals; Data analysis / aggregation,8,8,1.0,3.75,3.25,25.254166666666666,0.75,0.5,0.25,0.5,0.25,0.5,0.75,0.0,0.0,0.0,0.0,0.5,True,False,False,False,False,False,False
25t1,wave1,08d20a3c5e8341c6a2bcd16132a7401e,6,D0,Low Engagement / One-Shot Usage,False,Re-engagement before content remediation,"Contact quickly, resolve access/friction, set minimum process contract (>=2 runs + >=2 code edits per problem), then reassess.",,No activity / skeleton,0.6666666666666666,Input parsing / output formatting; Loops and iteration; Arithmetic / conditionals,7,7,1.0,2.1666666666666665,3.1666666666666665,0.4527777777777778,0.5,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,True,False,False,False,False,False,False
25t1,wave1,08d7244d26744ae1a2ad836d4fe99c16,5,D0,Low Engagement / One-Shot Usage,False,Re-engagement before content remediation,"Contact quickly, resolve access/friction, set minimum process contract (>=2 runs + >=2 code edits per problem), then reassess.",,No activity / skeleton,0.6,Arithmetic / conditionals; String manipulation; Input parsing / output formatting,4,4,1.0,5.0,5.2,43.596666666666664,0.16666666666666666,1.0,0.4,0.0,0.0,0.2,0.6,0.0,0.6,0.2,0.6,1.0,True,False,False,False,False,False,False
25t1,wave1,09072debad3e4b89998ee1834700b742,7,D0,Low Engagement / One-Shot Usage,False,Re-engagement before content remediation,"Contact quickly, resolve access/friction, set minimum process contract (>=2 runs + >=2 code edits per problem), then reassess.",,No activity / skeleton,1.0,Arithmetic / conditionals; Loops and iteration; Dictionary operations,8,8,1.0,2.142857142857143,1.4285714285714286,0.8214285714285714,0.6285714285714287,0.42857142857142855,0.0,0.5714285714285714,0.0,0.5714285714285714,1.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.8571428571428571,True,False,False,False,False,False,False
25t1,wave1,09742913d9cf42669edc4087fc0d6f8b,6,D0,Low Engagement / One-Shot Usage,False,Re-engagement before content remediation,"Contact quickly, resolve access/friction, set minimum process contract (>=2 runs + >=2 code edits per problem), then reassess.",,No activity / skeleton,0.8333333333333334,Loops and iteration; Arithmetic / conditionals; Data analysis / aggregation,9,9,1.0,1.0,0.6666666666666666,0.0,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.0,1.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False
